ticker,name,description,cik,composite_figi,market_cap,weighted_shares_outstanding,share_class_shares_outstanding,sic_code,sic_description,homepage_url,type
AAPL,Apple Inc.,"Apple is among the largest companies in the world, with a broad portfolio of hardware and software products targeted at consumers and businesses. Apple's iPhone makes up a majority of the firm sales, and Apple's other products like Mac, iPad, and Watch are designed around the iPhone as the focal point of an expansive software ecosystem. Apple has progressively worked to add new applications, like streaming video, subscription bundles, and augmented reality. The firm designs its own software and semiconductors while working with subcontractors like Foxconn and TSMC to build its products and chips. Slightly less than half of Apple's sales come directly through its flagship stores, with a majority of sales coming indirectly through partnerships and distribution.",0000320193,BBG000B9XRY4,3394402637153.0,15022073000.0,15022070000,3571,ELECTRONIC COMPUTERS,https://www.apple.com,CS
AMAT,Applied Materials Inc,"Applied Materials is the largest semiconductor wafer fabrication equipment, or WFE, manufacturer in the world. Applied Materials has a broad portfolio spanning nearly every corner of the WFE ecosystem. Specifically, Applied Materials holds a market share leadership position in deposition, which entails the layering of new materials on semiconductor wafers. It is more exposed to general-purpose logic chips made at integrated device manufacturers and foundries. It counts the largest chipmakers in the world as customers, including TSMC, Intel, and Samsung.",0000006951,BBG000BBPFB9,126337942979.8,830897356.0,830900000,3674,SEMICONDUCTORS & RELATED DEVICES,https://www.appliedmaterials.com,CS
AMGN,Amgen Inc,"Amgen is a leader in biotechnology-based human therapeutics. Flagship drugs include red blood cell boosters Epogen and Aranesp, immune system boosters Neupogen and Neulasta, and Enbrel and Otezla for inflammatory diseases. Amgen introduced its first cancer therapeutic, Vectibix, in 2006 and markets bone-strengthening drug Prolia/Xgeva (approved 2010) and Evenity (2019). The acquisition of Onyx bolstered the firm's therapeutic oncology portfolio with Kyprolis. Recent launches include Repatha (cholesterol-lowering), Aimovig (migraine), Lumakras (lung cancer), and Tezspire (asthma). The 2023 Horizon acquisition brings several rare-disease drugs, including thyroid eye disease drug Tepezza. Amgen also has a growing biosimilar portfolio.",0000318154,BBG000BBS2Y0,179788769197.25998,536434692.0,536440000,2836,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",https://www.amgen.com,CS
CMCSA,Comcast Corp,"Comcast is made up of three parts. The core cable business owns networks capable of providing television, internet access, and phone services to 63 million US homes and businesses, or nearly half of the country. About 50% of the locations in this territory subscribe to at least one Comcast service. Comcast acquired NBCUniversal from General Electric in 2011. NBCU owns several cable networks, including CNBC, MSNBC, and USA, the NBC network, the Peacock streaming platform, several local NBC affiliates, Universal Studios, and several theme parks. Sky, acquired in 2018, is a large television provider in the UK and has invested heavily in proprietary content to build this position. Sky is also a large pay-television provider in Italy and has a presence in Germany and Austria.",0001166691,BBG000BFT2L4,142828128752.775,3781022601.0,3771580000,4841,CABLE & OTHER PAY TELEVISION SERVICES,https://www.comcastcorporation.com,CS
INTC,Intel Corp,,0000050863,BBG000C0G1D1,,,4276000000,3674,SEMICONDUCTORS & RELATED DEVICES,,CS
KLAC,KLA Corporation Common Stock,"KLA is one of the largest semiconductor wafer fabrication equipment, or WFE, manufacturers in the world. It specializes in the market segment of semiconductor process control, wherein machines inspect semiconductor wafers during research and development and manufacturing for defects and verify precise measurements. In this section of the market, KLA holds a majority share. It also has a small exposure to the etch and deposition segments of the WFE market. It counts as top customers the largest chipmakers in the world, including TSMC and Samsung.",0000319201,BBG000BMTFR4,91178911900.44,132886746.0,132889999,3827,OPTICAL INSTRUMENTS & LENSES,https://www.kla.com,CS
PCAR,Paccar Inc,"Paccar is a leading manufacturer of medium- and heavy-duty trucks under the premium brands Kenworth and Peterbilt (primarily sold in the NAFTA region and Australia), and DAF trucks (sold in Europe and South America). The company's trucks are sold through more than 2,300 independent dealers globally. Paccar Financial Services provides retail and wholesale financing for customers and dealers, respectively. The company commands roughly 30% of the Class 8 market share in North America and 17% of the heavy-duty market share in Europe.",0000075362,BBG000BQVTF5,60024297718.125,524802603.0,524799999,3711,MOTOR VEHICLES & PASSENGER CAR BODIES,https://www.paccar.com,CS
CTAS,Cintas Corp,"Cintas has roots tracing back to 1929, during which the Farmer family cleaned and re-sold dirty rags to manufacturing plants in Ohio. The firm has grown its business organically and through acquisitions, and today Cintas acts as a one-stop outsourcing partner for businesses. Cintas will design, manufacture, collect, and clean every employee uniform for a small weekly sum, taking on the upfront capital expense itself. In the same stop, Cintas can also replace soiled or depleted mats, mops, trash liners, towels, first aid, fire, and cleaning products. Businesses value an outsourcing partner like Cintas as it simplifies operations and leaves noncore tasks with high regulatory standards in the hands of professionals.",0000723254,BBG000H3YXF8,82774931331.84,403543932.0,403540000,2320,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS",https://www.cintas.com,CS
PAYX,Paychex Inc,"Paychex is a leading provider of payroll, human capital management, and insurance solutions servicing small and midsize clients primarily in the United States. The company, founded in 1971, services over 745,000 clients and pays 1 in 12 US private-sector workers. Alongside its traditional payroll services, Paychex offers HCM solutions such as benefits administration and time and attendance software, as well as human resources outsourcing and insurance agency services.",0000723531,BBG000BQSQ38,56443487480.24,360063074.0,360060000,8700,"SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT",https://www.paychex.com,CS
LRCX,Lam Research Corp,"Lam Research is one of the largest semiconductor wafer fabrication equipment manufacturers in the world. It specializes in deposition and etch, which entail the buildup of layers on a semiconductor and the subsequent selective removal of patterns from each layer. Lam holds the top market share in etch and holds the clear second share in deposition. It is more exposed to memory chipmakers for DRAM and NAND chips. It counts as top customers the largest chipmakers in the world, including TSMC, Samsung, Intel, and Micron.",0000707549,BBG000BNFLM9,96845879589.99998,1283662000.0,1283660000,3559,"SPECIAL INDUSTRY MACHINERY, NEC",https://www.lamresearch.com,CS
