ticker,name,description,cik,composite_figi,market_cap,weighted_shares_outstanding,share_class_shares_outstanding,sic_code,sic_description,homepage_url,type
VSEE,"VSee Health, Inc. Common Stock","VSee Health Inc is a telehealth software platform. VSee's telemedicine solution, offering a fast, secure text + video collaboration app HIPAA messenger, and fully customizable virtual waiting rooms and clinics, is a complete telehealth platform that fits into any workflow. The VSee proprietary technology platform and modular software solution enable users to plug and play telehealth services with end-to-end encrypted video streaming integrated with patient metrics, electronic medical records, and other sensitive data, with multiple other interactive functionalities. The company's products include VSee Clinic, VSee Messenger, VSee APIs, VSee Remote patient monitoring, VSee Telehealth Staffing.",0001864531,BBG0130V90C0,19627966.834,15664778.0,15670000.0,8000,SERVICES-HEALTH SERVICES,https://www.vsee.com,CS
EBON,Ebang International Holdings Inc. Class A Ordinary Shares,"Ebang International Holdings Inc is a blockchain technology and Fintech company, that has ASIC chip design capability. Its business is ASIC chip design and Telecommunication. It operates in a single segment selling bitcoin mining machines and related accessories, telecommunication products, providing cryptocurrency exchange services, management and maintenance services, and cross-border payment and foreign exchange services. Its geographic regions are Mainland China, Australia, and Other countries and regions.",0001799290,,26881036.48,6280616.0,4990000.0,,,https://www.ebang.com.cn,CS
RVSB,Riverview Bancorp Inc,"Riverview Bancorp Inc is an American savings and loan holding company. The company through its subsidiaries engages in the business of attracting deposits and puts it to use in its market area to originate commercial business. It is organized into two operating segments, Banking Operations performed by the bank and trust and Investment Services performed by the Trust company. The company products and services include checking, saving, money market, mortgage, home equity, consumer, online banking, cash management, and others.",0001041368,BBG000BGZL88,112310748.76,21111043.0,21110000.0,6035,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",https://www.riverviewbank.com,CS
EU,enCore Energy Corp.,"enCore Energy Corp together with its subsidiary, is engaged in the acquisition and exploration of resource properties of uranium resource properties in the United States. The holds a portfolio of uranium assets located in New Mexico, South Dakota, Wyoming, Texas, Utah, Colorado, and Arizona in the USA, and is advancing its properties with a focus on utilizing in-situ recovery. The company's Projects are South Texas Operations, Dewey-Burdock Project, Gas Hills Project, Crownpoint & Hosta Butte Project, PFN (Prompt Fission Neutron) Technology, and Other Assets.",0001500881,BBG001CK1971,271587573.8261,186261281.0,186260000.0,,,https://www.encoreuranium.com,CS
MDAI,"Spectral AI, Inc. Class A Common Stock","Spectral AI Inc is an AI company, focused on predictive medical diagnostics. Spectral is devoting substantially all of its efforts towards the research and development of its DeepView System, an internally developed MSI device that has designated FDA BDD status. Its DeepView System uses proprietary algorithms to distinguish between damaged and healthy human tissue invisible to the naked eye, providing Day One healing assessments in seconds. The Company's output is specifically engineered to allow the physician to make a more accurate, timely, and informed decision regarding the treatment of the patient's wound.",0001833498,BBG00Z2ZVM27,28629726.391,20753698.0,21250000.0,3841,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,https://www.spectralmd.com,CS
BB,BlackBerry Limited,"BlackBerry, once known for being the world's largest smartphone manufacturer, is now exclusively a software provider with a stated goal of end-to-end secure communication for enterprises. The firm provides endpoint management and protection to enterprises, specializing in regulated industries like government, as well as embedded software to the automotive, medical, and industrial markets.",0001070235,BBG000CR90K4,2445965466.768,590171424.0,590170000.0,7372,SERVICES-PREPACKAGED SOFTWARE,https://www.blackberry.com,CS
BATT,Amplify Lithium & Battery Technology ETF,,0001633061,BBG00L322ZG8,,,7000000.0,,,,ETF
ALAR,Alarum Technologies Ltd. American Depositary Share,"Alarum Technologies Ltd is a company engaged in the information security business. The company has two Internet access segments which include Enterprise Internet Access and Consumer Internet Access. Its Enterprise Internet Access offers web data collection and a private Internet browsing platform and Consumer Internet Access provides solutions for secure and private Internet browsing. Geographically, the company has a presence in the UK Virgin Islands, Israel, Europe, APAC, MEA, Hong Kong, the USA, and others, and generates a majority of its revenue from the APAC followed by the United States.",0001725332,BBG00GVM3KM9,46597838.6899,6934099.0,69340000.0,,,https://www.alarum.io,ADRC
SNCR,Synchronoss Technologies Inc Common Stock,"Synchronoss Technologies Inc is a leading provider of white-label cloud, messaging, digital and network management solutions that enable its customers to keep subscribers, systems, networks and content in sync. The Synchronoss Personal CloudTM solution is designed to create an engaging and trusted customer experience through ongoing content management and engagement. The Synchronoss Personal CloudTM platform is a secure and highly scalable, white-label platform that allows its customers' subscribers to backup and protect, engage with, and manage their personal content. The company derives revenue from subscriptions and transaction-based fees. A majority of the firm's revenue is generated in the United States, and the rest is from countries across the world.",0001131554,BBG000Q4SFZ0,89692783.12120001,10839269.0,10840000.0,7371,SERVICES-COMPUTER PROGRAMMING SERVICES,https://www.synchronoss.com,CS
HFFG,HF Foods Group Inc. Common Stock,"HF Foods Group Inc is an Asian food service distributor that markets and distributes fresh produce, seafood, frozen and dry food, and non-food products to Asian restaurants and other food service customers throughout the United States. The Company's business consists of one operating segment; HF Group, which operates solely in the United States. The Company's customer base consists of Chinese and Asian restaurants, and it provides sales and service support to customers who mainly converse in Mandarin or Chinese dialects.",0001680873,BBG00HMS9MR9,99674158.5,52737650.0,52740000.0,5140,WHOLESALE-GROCERIES & RELATED PRODUCTS,https://www.hffoodsgroup.com,CS
PRCH,"Porch Group, Inc. Common Stock","Porch Group Inc is a vertical software company reinventing the home services and insurance industries. It has two reportable segments: The vertical Software segment provides software and services to home services companies. The Vertical Software segment software and services provide inspection, mortgage, and title companies on a subscription and transactional basis, several key businesses, including inspection software and services, title insurance software, mortgage software, moving services, mover and homeowner marketing, and measurement software for roofers. The insurance segment provides consumers with insurance and warranty products to protect their homes, earning revenue through premiums collected on policies, policy fees, and commissions. Majority revenue is from Insurance segment.",0001784535,BBG00QYZND30,611528155.73,101751773.0,101750000.0,7372,SERVICES-PREPACKAGED SOFTWARE,https://porch.com,CS
SXTP,"60 Degrees Pharmaceuticals, Inc. Common Stock","60 Degrees Pharmaceuticals Inc operates as a specialty pharmaceutical company with the goal of using biological science and applied research to develop and commercialize new therapies for the prevention and treatment of infectious diseases. The firm's pipeline products under development cover development programs for COVID-19, fungal, tick-borne, and other viral diseases.",0001946563,BBG00NXBJGQ4,2209365.0,1472910.0,1470000.0,2834,PHARMACEUTICAL PREPARATIONS,https://www.60degreespharma.com,CS
TCBPW,TC BioPharm (Holdings) plc Warrants,TC BioPharm (Holdings) PLC is a clinical-stage biopharmaceutical company focused on developing novel immunotherapy products that are based on its proprietary allogeneic gamma delta T (abbreviated as GD-T) cell platform. Harnessing the innate ability of GD-Ts has enabled the company to develop a range of clinical-stage cell therapies designed to combat cancer and viral infection.,0001872812,BBG0156K9VX2,,,4990000.0,2836,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",https://www.tcbiopharm.com,WARRANT
