ticker,date,open,high,low,close,volume,vwap,transactions
ARTL,2025-02-05,1.1984,1.4,1.185,1.4,123471,1.3115,497
ARTL,2025-02-06,1.4,1.5495,1.38,1.38,146481,1.4646,537
ARTL,2025-02-07,1.3982,1.3982,1.3005,1.33,35465,1.3571,235
ARTL,2025-02-10,1.3021,1.3717,1.3,1.35,24061,1.3191,87
ARTL,2025-02-11,1.37,1.46,1.36,1.395,38785,1.3998,132
ARTL,2025-02-12,1.3654,1.4338,1.3654,1.37,15790,1.4022,140
ARTL,2025-02-13,1.45,1.45,1.37,1.39,17555,1.4087,99
ARTL,2025-02-14,1.36,1.38,1.18,1.19,136397,1.31,436
ARTL,2025-02-18,1.2,1.26,1.16,1.19,29299,1.2059,139
ARTL,2025-02-19,1.19,1.22,1.1543,1.18,13132,1.1843,81
ARTL,2025-02-20,1.18,1.24,1.17,1.2,12800,1.1936,84
ARTL,2025-02-21,1.18,1.2365,1.15,1.16,17974,1.1765,89
ARTL,2025-02-24,1.15,1.17,1.11,1.12,30138,1.1436,158
ARTL,2025-02-25,1.12,1.12,1.1,1.115,27888,1.1087,99
ARTL,2025-02-26,1.11,1.12,1.04,1.0889,27105,1.0891,111
ARTL,2025-02-27,1.09,1.09,1.05,1.055,16926,1.069,107
ARTL,2025-02-28,1.06,1.07,1.04,1.07,19226,1.0628,77
ARTL,2025-03-03,1.07,1.09,0.9552,1.0,37732,1.0172,177
ARTL,2025-03-04,1.0,1.0398,1.0,1.035,32945,1.0174,116
ARTL,2025-03-05,1.0,1.08,1.0,1.02,15601,1.0372,94
ARTL,2025-03-06,1.02,1.0487,0.9645,1.0,19749,1.0099,124
