ticker,date,open,high,low,close,volume,vwap,transactions
ATNF,2025-02-05,1.38,1.41,1.37,1.39,75484,1.3943,380
ATNF,2025-02-06,1.4,1.42,1.36,1.38,43843,1.3941,265
ATNF,2025-02-07,1.45,1.45,1.33,1.4,46924,1.3908,303
ATNF,2025-02-10,1.39,1.4,1.35,1.38,54026,1.3765,306
ATNF,2025-02-11,1.41,1.41,1.35,1.37,21172,1.36,192
ATNF,2025-02-12,1.3439,1.3735,1.32,1.35,49347,1.3454,297
ATNF,2025-02-13,1.36,1.38,1.32,1.36,47532,1.3443,204
ATNF,2025-02-14,1.36,1.37,1.31,1.33,34423,1.3483,222
ATNF,2025-02-18,1.37,1.37,1.34,1.34,45658,1.3492,242
ATNF,2025-02-19,1.34,1.35,1.26,1.28,62128,1.3048,376
ATNF,2025-02-20,1.28,1.2901,1.2503,1.28,38269,1.2732,260
ATNF,2025-02-21,1.33,1.33,1.25,1.25,25500,1.288,220
ATNF,2025-02-24,1.3,1.35,1.25,1.31,52400,1.2911,331
ATNF,2025-02-25,1.31,1.31,1.23,1.23,42661,1.258,227
ATNF,2025-02-26,1.25,1.2585,1.1714,1.18,53645,1.2079,328
ATNF,2025-02-27,1.2,1.2572,1.12,1.17,91552,1.1825,440
ATNF,2025-02-28,1.14,1.2,1.1023,1.17,39195,1.1552,323
ATNF,2025-03-03,1.15,1.43,1.1,1.3,492338,1.2412,1948
ATNF,2025-03-04,1.17,1.24,1.1,1.17,228556,1.1526,696
ATNF,2025-03-05,1.16,1.16,1.13,1.155,48130,1.1428,241
ATNF,2025-03-06,1.15,1.2,1.14,1.2,32535,1.177,192
