ticker,date,open,high,low,close,volume,vwap,transactions
AZI,2025-02-05,0.7846,0.79,0.75,0.7598,67982,0.7624,178
AZI,2025-02-06,0.75,0.795,0.7,0.717,151661,0.7208,491
AZI,2025-02-07,0.7116,0.75,0.69,0.71,66844,0.7058,259
AZI,2025-02-10,0.69,0.6994,0.66,0.68,113822,0.6761,317
AZI,2025-02-11,0.67,0.6996,0.61,0.63,130320,0.6469,312
AZI,2025-02-12,0.64,0.642,0.56,0.618,137076,0.5979,372
AZI,2025-02-13,0.5995,0.63,0.561,0.599,204476,0.5789,463
AZI,2025-02-14,0.599,0.615,0.58,0.5995,44391,0.5935,173
AZI,2025-02-18,0.6,0.62,0.57,0.6,105574,0.5902,242
AZI,2025-02-19,0.59,0.59626,0.581,0.583,39882,0.5894,623
AZI,2025-02-20,0.59901,0.69,0.583,0.69,85192,0.6237,277
AZI,2025-02-21,0.69,0.699,0.596,0.63,197473,0.6308,405
AZI,2025-02-24,0.6211,0.63,0.54,0.54,86373,0.5795,255
AZI,2025-02-25,0.551,0.56,0.53,0.56,108638,0.547,191
AZI,2025-02-26,0.57,0.58,0.54,0.56,98697,0.5719,243
AZI,2025-02-27,0.552926,0.56,0.53,0.5505,102924,0.5541,291
AZI,2025-02-28,0.548,0.58,0.5402,0.57,61960,0.5562,401
AZI,2025-03-03,0.554,0.575,0.495,0.5098,138441,0.536,359
AZI,2025-03-04,0.4945,0.52,0.451,0.519,81904,0.4742,153
AZI,2025-03-05,0.51,0.515,0.453,0.5043,79996,0.4765,163
AZI,2025-03-06,0.473,0.505,0.4702,0.505,10056,0.4801,69
