ticker,date,open,high,low,close,volume,vwap,transactions
FDMT,2025-02-05,5.96,6.26,5.95,6.14,581842.0,6.1342,8885
FDMT,2025-02-06,6.16,6.91,6.0437,6.52,1489668.0,6.5611,13108
FDMT,2025-02-07,6.6,6.77,5.96,5.97,1900892.0,6.4076,12862
FDMT,2025-02-10,6.09,6.1139,5.2707,5.315,1556362.0,5.4865,11300
FDMT,2025-02-11,5.19,5.2676,4.57,4.58,1241992.0,4.7914,9796
FDMT,2025-02-12,4.57,4.665,4.405,4.55,1101293.0,4.523,10420
FDMT,2025-02-13,4.56,4.77,4.51,4.72,900040.0,4.6522,8524
FDMT,2025-02-14,4.79,5.42,4.79,4.88,685672.0,4.9828,7242
FDMT,2025-02-18,4.88,5.07,4.8,4.85,557074.0,4.8823,6432
FDMT,2025-02-19,4.87,4.97,4.71,4.73,660774.0,4.8285,7110
FDMT,2025-02-20,4.71,4.8,4.63,4.67,386410.0,4.7015,5223
FDMT,2025-02-21,4.74,4.78,4.53,4.64,555285.0,4.621,7135
FDMT,2025-02-24,4.74,4.815,4.51,4.52,456408.0,4.6244,7875
FDMT,2025-02-25,4.52,4.76,4.44,4.54,500619.0,4.5478,7500
FDMT,2025-02-26,4.54,4.815,4.51,4.8,570895.0,4.7397,7974
FDMT,2025-02-27,4.76,4.865,4.45,4.48,503565.0,4.5959,6513
FDMT,2025-02-28,4.45,4.64,4.2,4.53,1224230.0,4.4904,8163
FDMT,2025-03-03,4.57,4.81,4.12,4.14,668875.0,4.3427,9464
FDMT,2025-03-04,4.11,4.14,3.92,3.97,1000163.0,4.0276,10625
FDMT,2025-03-05,4.0,4.34,3.95,4.16,724796.0,4.0949,8262
FDMT,2025-03-06,4.08,4.28,4.07,4.14,1126215.0,4.1866,11976
