ticker,date,open,high,low,close,volume,vwap,transactions
GBIO,2025-02-03,0.76,0.8085,0.7205,0.76,482583,0.7733,2161
GBIO,2025-02-04,0.764,0.8053,0.7463,0.7806,367933,0.7815,1185
GBIO,2025-02-05,0.78,0.8425,0.78,0.8321,521635,0.8152,1813
GBIO,2025-02-06,0.83,0.8403,0.8001,0.8057,126117,0.8131,839
GBIO,2025-02-07,0.82,0.82,0.75,0.7595,235778,0.7667,1137
GBIO,2025-02-10,0.756,0.7601,0.69,0.7,554848,0.7106,1613
GBIO,2025-02-11,0.68,0.6846,0.622,0.63,708671,0.6529,2090
GBIO,2025-02-12,0.6366,0.6555,0.6028,0.619,534507,0.6269,1935
GBIO,2025-02-13,0.611,0.7031,0.61,0.68,440697,0.6658,1710
GBIO,2025-02-14,0.6963,0.729999,0.6608,0.68,331831,0.6825,1326
GBIO,2025-02-18,0.69,0.7516,0.6582,0.6945,224192,0.7017,1162
GBIO,2025-02-19,0.7,0.7346,0.6533,0.6567,339346,0.6793,1279
GBIO,2025-02-20,0.69,0.72,0.6118,0.615,587953,0.6457,1894
GBIO,2025-02-21,0.63,0.6392,0.5854,0.6102,515084,0.6154,1472
GBIO,2025-02-24,0.6124,0.6348,0.595,0.604,186484,0.6108,755
GBIO,2025-02-25,0.62,0.6384,0.585,0.588,302747,0.5985,1172
GBIO,2025-02-26,0.59,0.6192,0.561,0.5627,511942,0.5825,1385
GBIO,2025-02-27,0.56,0.5877,0.535,0.535,475904,0.5637,1086
GBIO,2025-02-28,0.5374,0.60395,0.5301,0.58,388498,0.5714,1105
