ticker,date,open,high,low,close,volume,vwap,transactions
IHD,2025-02-05,5.2,5.2,5.175,5.18,64516,5.1864,283
IHD,2025-02-06,5.16,5.1999,5.16,5.16,169772,5.1807,581
IHD,2025-02-07,5.16,5.23,5.16,5.2,68422,5.2111,151
IHD,2025-02-10,5.22,5.252,5.19,5.2286,73319,5.2337,178
IHD,2025-02-11,5.21,5.23,5.2,5.205,44575,5.2161,162
IHD,2025-02-12,5.21,5.27,5.205,5.25,144610,5.2255,432
IHD,2025-02-13,5.21,5.25,5.21,5.24,89586,5.2396,354
IHD,2025-02-14,5.26,5.28,5.26,5.26,84139,5.2746,284
IHD,2025-02-18,5.29,5.35,5.29,5.34,130191,5.3297,497
IHD,2025-02-19,5.34,5.42,5.33,5.4,318398,5.3738,1118
IHD,2025-02-20,5.4,5.53,5.37,5.5,231428,5.4579,744
IHD,2025-02-21,5.51,5.5396,5.41,5.42,187897,5.4886,520
IHD,2025-02-24,5.43,5.4725,5.38,5.41,67695,5.4256,259
IHD,2025-02-25,5.4,5.43,5.4,5.41,30647,5.4121,116
IHD,2025-02-26,5.45,5.49,5.44,5.48,108169,5.4728,479
IHD,2025-02-27,5.45,5.479,5.39,5.39,33691,5.4444,133
IHD,2025-02-28,5.35,5.4,5.3085,5.34,46251,5.3493,210
IHD,2025-03-03,5.33,5.3452,5.23,5.27,77299,5.2999,304
IHD,2025-03-04,5.26,5.282,5.22,5.24,64104,5.2433,307
IHD,2025-03-05,5.28,5.39,5.28,5.39,52110,5.326,213
IHD,2025-03-06,5.36,5.42,5.31,5.38,48318,5.3912,268
