ticker,date,open,high,low,close,volume,vwap,transactions
INVE,2025-02-03,3.4,3.51,3.386,3.43,17342,3.4518,279
INVE,2025-02-04,3.43,3.51,3.425,3.46,23747,3.4537,246
INVE,2025-02-05,3.4397,3.62,3.4397,3.55,20112,3.5362,225
INVE,2025-02-06,3.55,3.65,3.4901,3.51,15923,3.5786,155
INVE,2025-02-07,3.5,3.8,3.42,3.49,14159,3.5958,204
INVE,2025-02-10,3.49,3.64,3.42,3.49,16976,3.5629,187
INVE,2025-02-11,3.46,3.61,3.45,3.56,21706,3.5682,134
INVE,2025-02-12,3.56,3.67,3.49,3.53,30456,3.5929,257
INVE,2025-02-13,3.56,3.648,3.41,3.51,49591,3.55,496
INVE,2025-02-14,3.57,3.61,3.5,3.51,19355,3.5699,256
INVE,2025-02-18,3.55,3.628,3.495,3.52,17794,3.5459,338
INVE,2025-02-19,3.55,3.65,3.425,3.55,33134,3.5628,347
INVE,2025-02-20,3.61,3.65,3.41,3.57,88434,3.6133,392
INVE,2025-02-21,3.57,3.64,3.44,3.44,21115,3.5229,229
INVE,2025-02-24,3.44,3.648,3.35,3.51,92573,3.4755,662
INVE,2025-02-25,3.54,3.648,3.5,3.55,89406,3.5989,369
INVE,2025-02-26,3.6,3.71,3.6,3.61,48994,3.6347,358
INVE,2025-02-27,3.79,3.96,3.73,3.85,102070,3.8635,769
INVE,2025-02-28,3.6617,3.86,3.6,3.67,40688,3.766,289
