ticker,date,open,high,low,close,volume,vwap,transactions
SYTA,2025-02-05,4.97,5.1002,4.6,4.73,125645.0,4.8633,855
SYTA,2025-02-06,4.95,4.95,4.4,4.63,175848.0,4.6278,1156
SYTA,2025-02-07,4.62,4.79,4.4006,4.65,162873.0,4.6427,1264
SYTA,2025-02-10,4.65,4.74,4.0,4.15,335335.0,4.3223,1640
SYTA,2025-02-11,4.26,4.4456,4.19,4.24,119613.0,4.3215,843
SYTA,2025-02-12,4.25,4.29,4.03,4.06,100306.0,4.1482,699
SYTA,2025-02-13,4.11,4.23,3.7,3.78,221225.0,4.0628,1189
SYTA,2025-02-14,3.88,3.97,3.6098,3.68,197140.0,3.7477,1021
SYTA,2025-02-18,3.65,3.7366,3.17,3.42,116766.0,3.5018,1048
SYTA,2025-02-19,3.4,3.4271,3.19,3.19,162352.0,3.3282,1040
SYTA,2025-02-20,3.19,3.438879,3.04,3.28,107354.0,3.2474,765
SYTA,2025-02-21,3.3,4.0,3.08,3.23,702534.0,3.4695,4104
SYTA,2025-02-24,3.33,3.49,3.2,3.34,224535.0,3.3326,1198
SYTA,2025-02-25,3.71,3.76,3.2,3.5,3479355.0,4.0447,29717
SYTA,2025-02-26,6.99,6.99,3.73,4.17,23340159.0,6.2227,206194
SYTA,2025-02-27,3.23,3.41,2.82,2.98,1086008.0,3.0887,7873
SYTA,2025-02-28,3.01,3.1294,2.6501,2.75,470228.0,2.8963,2611
SYTA,2025-03-03,2.68,3.3795,2.67,2.87,672406.0,3.1063,4058
SYTA,2025-03-04,2.86,3.1699,2.66,2.66,306699.0,2.8312,2380
SYTA,2025-03-05,2.75,2.86,2.6201,2.65,161100.0,2.7112,1389
SYTA,2025-03-06,2.64,2.71,2.3504,2.41,201544.0,2.4941,1387
