ticker,name,description,cik,composite_figi,market_cap,weighted_shares_outstanding,share_class_shares_outstanding,sic_code,sic_description,homepage_url,type
AAPL,Apple Inc.,"Apple is among the largest companies in the world, with a broad portfolio of hardware and software products targeted at consumers and businesses. Apple's iPhone makes up a majority of the firm sales, and Apple's other products like Mac, iPad, and Watch are designed around the iPhone as the focal point of an expansive software ecosystem. Apple has progressively worked to add new applications, like streaming video, subscription bundles, and augmented reality. The firm designs its own software and semiconductors while working with subcontractors like Foxconn and TSMC to build its products and chips. Slightly less than half of Apple's sales come directly through its flagship stores, with a majority of sales coming indirectly through partnerships and distribution.",320193,BBG000B9XRY4,3394402637153.0,15022073000.0,15022070000,3571.0,ELECTRONIC COMPUTERS,https://www.apple.com,CS
NVDA,Nvidia Corp,"Nvidia Corp is an upfront developer of graphics processing unit and a full-stack computing infrastructure company with data-center-scale offerings that are reshaping industry. Traditionally, GPU were used to enhanvce experience,now Nvidia offers AI GPUs, and also a software platform, Cuda, used for AI model development and training. The company is also expanding its data center networking solutions, helping to tie GPUs together to handle complex workloads. such as AI, model training and inference, data analytics, scientific computing, and 3D graphics, with vertical-specific optimizations to address industries ranging from healthcare and telecom to automotive and manufacturing.",1045810,BBG000BBJQV0,2630442000000.0,24400000000.0,24400000000,3674.0,SEMICONDUCTORS & RELATED DEVICES,https://www.nvidia.com,CS
GOOG,Alphabet Inc. Class C Capital Stock,"Alphabet is a holding company. Internet media giant Google is a wholly owned subsidiary. Google services account for nearly 90% of Alphabet's revenue, of which more than 85% is from online ads. Other Google services revenue is from sales of apps and content on Google Play and YouTube, as well as sales of hardware such as Chromebooks, the Pixel smartphone, and smart home products, which include Nest and Google Home. Google's cloud computing offerings account for a bit more than 10% of total Alphabet revenue. Alphabet's moonshot investments are in its other bets segment, where it bets on technology to enhance health (Verily), provide faster internet access (Google Fiber), enable self-driving cars (Waymo), and more.",1652044,BBG009S3NB30,2063662420000.0,12358000000.0,5627980000,7370.0,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",https://www.abc.xyz,CS
AMZN,Amazon.Com Inc,"Amazon is the leading online retailer and marketplace for third party sellers. Retail related revenue represents approximately 75% of total, followed by Amazon Web Services' cloud computing, storage, database, and other offerings (15%), advertising services (5% to 10%), and other the remainder. International segments constitute 25% to 30% of Amazon's non-AWS sales, led by Germany, the United Kingdom, and Japan.",1018724,BBG000BVPV84,2033789044483.616,10597729352.0,10597730000,5961.0,RETAIL-CATALOG & MAIL-ORDER HOUSES,https://www.amazon.com,CS
GOOGL,Alphabet Inc. Class A Common Stock,"Alphabet is a holding company that wholly owns internet giant Google. The California-based company derives slightly less than 90% of its revenue from Google services, the vast majority of which is advertising sales. Alongside online ads, Google services houses sales stemming from Google's subscription services (YouTube TV, YouTube Music among others), platforms (sales and in-app purchases on Play Store), and devices (Chromebooks, Pixel smartphones, and smart home products such as Chromecast). Google's cloud computing platform, or GCP, accounts for roughly 10% of Alphabet's revenue with the firm's investments in up-and-coming technologies such as self-driving cars (Waymo), health (Verily), and internet access (Google Fiber) making up the rest.",1652044,BBG009S39JX6,2011837600000.0,12190000000.0,5833000000,7370.0,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",https://www.abc.xyz,CS
META,"Meta Platforms, Inc. Class A Common Stock","Meta is the largest social media company in the world, boasting close to 4 billion monthly active users worldwide. The firm's ""Family of Apps,"" its core business, consists of Facebook, Instagram, Messenger, and WhatsApp. End users can leverage these applications for a variety of different purposes, from keeping in touch with friends to following celebrities and running digital businesses for free. Meta packages customer data, gleaned from its application ecosystem and sells ads to digital advertisers. While the firm has been investing heavily in its Reality Labs business, it remains a very small part of Meta's overall sales.",1326801,BBG000MM2P62,1500838402215.4,2533659265.0,2189900000,7370.0,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",https://about.meta.com,CS
BRK.B,BERKSHIRE HATHAWAY Class B,"Berkshire Hathaway is a holding company with a wide array of subsidiaries engaged in diverse activities. The firm's core business segment is insurance, run primarily through Geico, Berkshire Hathaway Reinsurance Group, and Berkshire Hathaway Primary Group. Berkshire has used the excess cash thrown off from these and its other operations over the years to acquire Burlington Northern Santa Fe (railroad), Berkshire Hathaway Energy (utilities and energy distributors), and the companies that make up its manufacturing, service, and retailing operations (which include five of Berkshire's largest noninsurance pretax earnings generators: Precision Castparts, Lubrizol, Clayton Homes, Marmon, and IMC/ISCAR). The conglomerate is unique in that it is run on a completely decentralized basis.",1067983,BBG000DWG505,1067987910391.0312,2157334729.0,1338050000,6331.0,"FIRE, MARINE & CASUALTY INSURANCE",https://www.berkshirehathaway.com,CS
AVGO,Broadcom Inc. Common Stock,"Broadcom is the sixth-largest semiconductor company globally and has expanded into various software businesses, with over $30 billion in annual revenue. It sells 17 core semiconductor product lines across wireless, networking, broadband, storage, and industrial markets. It is primarily a fabless designer but holds some manufacturing in-house, like for its best-of-breed FBAR filters that sell into the Apple iPhone. In software, it sells virtualization, infrastructure, and security software to large enterprises, financial institutions, and governments.Broadcom is the product of consolidation. Its businesses are an amalgamation of former companies like legacy Broadcom and Avago Technologies in chips, as well as Brocade, CA Technologies, and Symantec in software.",1730168,BBG00KHY5S69,864120753658.26,4701930317.0,4701930000,3674.0,SEMICONDUCTORS & RELATED DEVICES,https://www.broadcom.com,CS
LLY,Eli Lilly & Co.,"Eli Lilly is a drug firm with a focus on neuroscience, cardiometabolic, cancer, and immunology. Lilly's key products include Verzenio for cancer; Mounjaro, Zepbound, Jardiance, Trulicity, Humalog, and Humulin for diabetes; and Taltz and Olumiant for immunology.",59478,BBG000BNBDC2,795584443661.1385,950405386.0,950410000,2834.0,PHARMACEUTICAL PREPARATIONS,https://www.lilly.com,CS
TSLA,"Tesla, Inc. Common Stock","Tesla is a vertically integrated battery electric vehicle automaker and developer of autonomous driving software. The company has multiple vehicles in its fleet, which include luxury and midsize sedans, crossover SUVs, a light truck, and a semi truck. Tesla also plans to begin selling more affordable vehicles, a sports car, and a robotaxi. Global deliveries in 2024 were a little below 1.8 million vehicles. The company sells batteries for stationary storage for residential and commercial properties including utilities and solar panels and solar roofs for energy generation. Tesla also owns a fast-charging network.",1318605,BBG000N9MNX3,772789762307.66,3210059659.0,3210060000,3711.0,MOTOR VEHICLES & PASSENGER CAR BODIES,https://www.tesla.com,CS
